tstidn,expidn,unique,expsit,agepar,gender,region,poccup,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crtre1,crtre2,crtre3,crtre4,crtre5,crtre6,crtre7,crtco1,crtco2,crtco3,crtco4,crtco5,crtco6,crtco7,critie1,critie2,critie3,critie4,critie5,critie6,critie7,crtin1,crtin2,crtin3,crtin4,crtin5,crtin6,crtin7,critnr1,critnr2,critnr3,critnr4,critnr5,critnr6,critnr7,crtrr1,crtrr2,crtrr3,crtrr4,crtrr5,crtrr6,crtrr7,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,religr,politr,pedlev,fedlev,tstamp,accept,expidt,crtfr1,crtfr2,crtfr3,crtfr4,crtfr5,crtfr6,crtfr7,religo,polito,disto1,disto2,disto3,distn1,distn2,distn3,distc1,distc2,distc3,distd1,distd2,distd3,distr1,distr2,distr3,distl1,distl2,distl3
128,131,2 DU,2 PA,24,2 MA,12,1 ST,1,2,1,2,2,3,3,2,3,3,2,3,3,4,3,4,2,3,2,3,5,1,1,1,1,1,1,0,0,0,1,0,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,1,3,2,1,3,3,3,3,2,2,3,3,4,3,1,4,4 NO,5 NO,4 EU,4 EU,12/10/2023 17:04:42,Si,00131,5,5 MIN,24 hrs,primer lugar,8,no se sabe,27,"no tengo una orientación religiosa, no creo en las doctrinas.","no tengo una orientación política, me inclino más bien hacia algo empático, justo, y real.",200.000,850,10,200.000,850,10,144.938,"924,81",155,55.062,75,145,116,439,537,6,2,3
129,131,2 DU,2 PA,24,2 MA,12,1 ST,3,1,4,3,1,1,1,1,2,2,4,4,4,4,3,3,3,4,4,4,5,1,1,1,1,2,3,0,0,0,1,0,1 incorrecta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,-1,-1,1,5,1,1,5,3,5,1,1,2,5,1,4,5,3,5,6 AT,1 LW,2 EM,6 PG,12/10/2023 17:07:38,Si,00131,100,100 minutos,24 horas,segundo lugar,8,Abril,27 kilos,ateo,centro izquierda,120.000 aprox,890 pesos,10,120.000,890,10,144.938,"924,81",155,24.938,35,145,56,305,537,6,2,3
130,132,1 UN,2 PA,18,2 MA,12,1 ST,4,2,4,3,4,3,2,3,3,4,3,4,4,3,4,4,4,5,4,3,4,2,1,2,2,2,1,0,0,0,1,0,3 incorrecta intuitiva,1 incorrecta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,-1,2,1,2,2,4,1,2,2,1,1,2,2,4,4,2,2,2 CR,1 LW,2 EM,2 EM,12/10/2023 17:11:38,Si,00132,10,50,12,2do lugar,8,emilio,3,evangelico,boric,1 millon,entre 80 y 90,5,1.000.000,85,5,144.938,"924,81",155,855.062,840,150,408,648,567,7,3,3
131,133,1 UN,2 PA,21,1 FE,12,1 ST,2,3,3,3,3,3,2,3,4,2,3,3,4,4,2,3,4,4,4,4,4,2,2,2,3,3,2,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,3,4,3,3,4,4,4,3,3,2,4,4,4,3,3,4,2 CR,5 NO,4 EU,4 EU,12/10/2023 17:09:36,Si,00133,10 PESOS,100,24,EN EL SEGUNDO,7,JULIO,3,CRISTIANA,NO CREO EN LA POLITICA,NO SE,800,NO SE,NR,800,NR,144.938,"924,81",155,NR,125,NR,NR,585,NR,NR,3,NR
132,134,1 UN,2 PA,19,2 MA,12,1 ST,3,2,4,2,4,1,3,3,4,3,2,4,3,3,2,2,2,3,3,3,4,3,1,1,1,3,2,0,0,0,1,0,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,4,2,3,5,3,3,3,4,2,5,5,4,5,4,4,5,5 AG,3 RW,2 EM,2 EM,12/10/2023 17:10:35,Si,00134,10,2 horas,24 horas,segundo lugar,7,julio,27,"Agnostico, creo en la ciencia, pero no niego la existencia de un ser todo poderoso omnipotente, pero hasta que algo lo compruebe soy neutro",Centro derecha,300.000,850,app 60,300.000,850,60,144.938,"924,81",155,155.062,75,95,199,439,195,7,2,2
133,135,1 UN,2 PA,20,2 MA,12,1 ST,2,2,1,3,3,2,2,2,3,2,3,4,4,3,3,3,2,3,3,3,3,2,2,2,2,3,1,1,0,0,0,1,1 incorrecta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,-1,3,2,2,2,4,3,2,2,3,2,3,3,4,3,4,4,2 CR,2 CE,2 EM,3 ET,12/10/2023 17:44:27,Si,00135,90,cinco minutos,24 horas,en segundo lugar,8 ovejas,Emilio,1 metro cubico,cristiana,centro,180.000,850 pesos,14,180.000,850,14,144.938,"924,81",155,35.062,75,141,70,439,498,6,2,3
134,136,1 UN,2 PA,21,2 MA,12,1 ST,2,2,4,3,3,4,4,1,3,2,3,2,4,2,3,3,1,3,2,4,2,3,2,2,2,3,1,0,0,0,0,1,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,3,4,2,2,4,3,3,3,3,4,5,3,4,4,2,5,1 CA,2 CE,2 EM,4 EU,12/10/2023 17:36:00,Si,00136,10,100 minutos,8,2do ,8,Emilio ,9,Católica,"neutra, siento que solo se preocupan del pelear con el contrario",135.000,800 app ,300,135.000,800,300,144.938,"924,81",155,9.938,125,145,28,585,537,5,3,3
135,137,1 UN,2 PA,18,1 FE,12,1 ST,2,4,2,2,2,4,1,4,3,4,4,4,4,3,3,4,2,4,4,5,2,4,1,3,2,2,1,0,0,0,0,1,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,-1,3,4,2,1,2,3,4,3,4,5,1,5,5,4,2,3,4 NO,5 NO,2 EM,4 EU,12/10/2023 17:42:37,Si,00137,10,20 HORAS,24 HORAS,PRIMERO,0,EMILIO,9 METROS,NINGUNA,NINGUNO,600.000,1.000,20,600.000,1.000,20,144.938,"924,81",155,455.062,75,135,360,444,441,7,2,3
136,138,1 UN,2 PA,21,1 FE,12,1 ST,2,2,2,2,2,3,2,2,2,3,3,2,2,4,3,2,1,3,4,4,4,2,1,1,3,2,3,1,0,0,0,0,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,-1,3,4,4,3,4,4,4,2,3,4,4,3,5,5,4,5,1 CA,1 LW,4 EU,4 EU,12/10/2023 17:37:38,Si,00138,10,500,24,segundo lugar,8,emilio,1,catolica,mas de izquierda,140.000,890,80,140.000,890,80,144.938,"924,81",155,4.938,35,75,7,305,162,5,2,2
137,139,1 UN,2 PA,20,1 FE,12,1 ST,3,2,1,1,2,1,1,1,4,4,4,3,4,3,3,2,3,3,4,5,4,1,1,1,1,1,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,3,3,4,2,4,2,4,5,5,4,5,5,3,5,1 CA,1 LW,2 EM,6 PG,12/10/2023 17:35:10,Si,00139,10,100 minutos,24,Segundo,7,Emilio,27,Católica,Obama,150.000,850,12,150.000,850,12,144.938,"924,81",155,5.062,75,143,11,439,506,5,2,3
138,140,1 UN,2 PA,19,1 FE,12,1 ST,1,4,1,3,2,1,4,2,4,4,1,4,4,4,3,3,1,3,4,4,4,1,1,1,1,1,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,3,1,1,1,1,1,3,3,1,5,5,1,5,5,1,5,5 AG,3 RW,2 EM,3 ET,12/10/2023 18:10:27,Si,00140,10,1 hora 40 minutos,24 horas,2do lugar,8 ovejas,Julio,3000 metros cubicos,"No me clasifico en ninguna religión, pero estoy abierta a la idea de la existencia de un algo que creo todo, incluso tal vez solo un evento aleatorio","Me falta informarme más sobre el tema, pero definitivamente el socialismo no es mi enfoque",Tal vez un millón o más o menos,entre 800 pesos hasta 990,50,1.000.000,895,50,144.938,"924,81",155,855.062,30,105,408,258,243,7,2,3
139,141,1 UN,2 PA,21,1 FE,12,1 ST,1,1,1,2,3,2,3,4,3,2,4,4,3,4,3,1,3,5,5,5,3,1,1,1,1,3,1,0,0,0,0,0,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1,-1,2,4,3,2,4,5,5,5,2,5,5,1,5,4,4,5,4 NO,5 NO,4 EU,4 EU,12/10/2023 18:14:03,Si,00141,10,1 MINUTO,24 HORAS,SEGUNDO,0,EMILIO,3 METROS CUBICOS,"Ninguna, he estado en varias y no me siento identificada  en ninguna.","Ninguna, pero estoy de acuerdo con varias cosas de varios partidos que podrían llamarse ""justas2.",315.000,940,95,315.000,940,95,144.938,"924,81",155,170.062,15,60,216,119,151,7,2,2
140,142,1 UN,2 PA,18,1 FE,12,1 ST,2,2,2,3,1,2,1,2,4,4,4,4,4,4,2,2,2,3,3,3,3,2,1,2,2,2,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,4,4,2,4,2,1,3,2,2,2,4,2,4,3,2,5,3 OT,8 NR,2 EM,4 EU,12/10/2023 18:15:06,Si,00142,10,100 minutos ,24 horas,segundo,7,julio,9,No creo en una religion como tal pero si creo que puede haber un ente poderoso solo que este no interfiere con notros ni nuestra vida cada uno elige su camino.,,22 millones,897,12,22.000.000,897,12,144.938,"924,81",155,21.855.062,28,143,606,238,506,10,2,3
141,143,1 UN,2 PA,19,2 MA,12,1 ST,1,1,1,2,1,2,1,2,4,1,3,4,3,3,3,3,2,3,3,3,2,1,1,1,2,2,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,3,4,2,1,3,2,3,1,3,1,4,1,5,5,1,5,1 CA,3 RW,2 EM,5 PT,12/10/2023 18:10:33,Si,00143,10 pesos,100 minutos,24 horas,segundo,8,Julio,9,Soy católico ,me considero de derecha,200.000,900,no se,200.000,900,NR,144.938,"924,81",155,55.062,25,NR,116,205,NR,6,2,NR
142,144,1 UN,2 PA,23,1 FE,12,1 ST,1,2,1,1,2,2,2,2,3,2,2,3,3,3,4,4,4,4,4,5,4,4,3,3,3,4,2,0,0,0,1,0,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4 NO,5 NO,2 EM,4 EU,12/10/2023 18:27:25,Si,00144,10,5 minutos,24 horas,en segundo lugar,8,Emilio ,3,No soy muy creyente,No tengo una orientación política como tal,cerca de 200 mil personas ,800 aproximadamente ,21,200.000,800,21,144.938,"924,81",155,55.062,125,134,116,585,435,6,3,3
143,145,1 UN,2 PA,20,2 MA,12,1 ST,4,2,1,2,3,2,2,3,4,3,4,2,4,2,3,3,4,4,3,5,4,1,1,1,2,3,1,1,1,0,0,0,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,1,2,2,4,4,5,4,1,1,3,3,5,4,4,5,5 AG,3 RW,4 EU,4 EU,31/10/2023 15:38:47,Si,00145,5 pesos,100 minutos,47 horas,segundo lugar,8 ovejas,Emilio,27 metros cúbicos,Agnóstico,Derecha,170.000 personas,780 pesos chilenos,120 diputados,170.000,780,120,144.938,"910,28",155,25.062,130,35,64,604,78,6,3,2
144,146,1 UN,2 PA,23,2 MA,12,1 ST,3,3,1,2,2,4,2,2,4,2,4,4,4,4,3,3,4,3,5,5,5,3,1,3,2,3,1,1,0,0,1,0,1 incorrecta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,0,3,3,3,4,4,2,5,5,3,3,4,4,4,3,3,5,1 CA,3 RW,4 EU,3 ET,31/10/2023 17:33:12,Si,00146,|0 pesos,100 minutos,24 horas,2do,8,emilio,27m3,catolico,Derecha,9 Millones de personas,950 aprox,,9.000.000,950,NR,144.938,"910,28",155,8.855.062,40,NR,594,318,NR,9,2,NR
145,147,1 UN,2 PA,20,2 MA,12,1 ST,1,2,2,2,1,2,2,2,4,3,2,3,4,3,3,3,3,3,2,4,3,2,1,1,3,3,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,3,3,2,3,5,5,1,1,5,1,3,1,5,5,1,5,1 CA,3 RW,4 EU,3 ET,31/10/2023 17:26:56,Si,00147,10,100 minutos,depende de cuanto se duplique por hora           ,segundo lugar,7,Emilio,27,Catolico,Derecha,9.000.000,867,43,9.000.000,867,43,144.938,"910,28",155,8.855.062,43,112,594,328,301,9,2,3
146,148,1 UN,2 PA,22,1 FE,12,1 ST,2,2,1,1,1,3,1,2,3,4,3,4,4,1,4,4,3,4,4,4,4,1,1,2,1,1,1,0,0,0,1,0,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,3,4,1,1,3,2,3,1,2,2,1,1,4,4,1,5,4 NO,1 LW,4 EU,5 PT,31/10/2023 17:26:17,Si,00148,10,5 minutos,24 horas,segundo lugar,8 ovejas,Emilio,3 metros,No sigo ninguna religión ,"No soy de ningún partido ni tendencia política, sin embargo vote por el gobierno actual del país y considero que apesar de que siempre habrán falencias, he visto avances en diversos ámbitos.",500.000,910 pesos,12,500.000,910,12,144.938,"910,28",155,355.062,0,143,310,5,506,7,1,3
147,149,1 UN,2 PA,21,2 MA,12,1 ST,1,2,2,2,2,4,2,4,1,2,4,4,4,1,4,4,2,3,1,5,5,2,1,1,1,1,1,0,0,0,1,0,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,1,5,1,1,3,2,2,1,1,2,1,1,3,2,3,1,3 OT,5 NO,4 EU,6 PG,31/10/2023 17:28:57,Si,00149,10,5 MIN,24,2DO,7,EMILIO  ,1,CREO EN DIOS ,NO TENGO ORIENTACION POLITICA ,150.000,850,100,150.000,850,100,144.938,"910,28",155,5.062,60,55,11,373,125,5,2,2
148,150,1 UN,2 PA,23,2 MA,12,1 ST,2,3,1,3,4,4,3,2,4,4,4,4,4,4,3,2,2,3,3,2,2,1,1,2,3,2,1,0,0,0,1,0,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,3,1,1,1,4,2,3,2,1,1,3,1,5,5,3,4,1 CA,3 RW,4 EU,4 EU,31/10/2023 18:15:41,Si,00150,5,5 minutos,47 horas,segundo lugar,8,emilio,27 m3,catolica,derecha,200.000 aprox. ,850,10,200.000,850,10,144.938,"910,28",155,55.062,60,145,116,373,537,6,2,3
149,151,1 UN,2 PA,22,2 MA,12,1 ST,3,2,2,2,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,2,2,3,1,1,2,2,2,0,0,0,1,0,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,-1,1,1,1,3,4,4,4,3,1,2,3,2,4,3,3,4,5 AG,3 RW,4 EU,4 EU,31/10/2023 18:01:24,Si,00151,5,5 minutos,49,segundo,8,emilio,3 metros cubicos,"agnostico, debido a que no aseguro ni desmiento la existencia de uno o mas dioses","centro derecha, apoyo que el gobierno debe promover el comercio del pais, para asi tener el capital para apoyar al pueblo",164.000,900 pesos aproximadamente,118,164.000,900,118,144.938,"910,28",155,19.062,10,37,45,85,105,6,2,2
150,152,1 UN,3 AR,24,2 MA,15,1 ST,1,1,1,1,2,2,3,1,3,2,3,3,2,3,3,2,1,2,2,2,1,1,1,1,1,1,1,0,0,0,0,1,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,3,2,4,3 OT,5 NO,4 EU,4 EU,30/10/2023 11:21:02,Si,00152,5,5,47,segundo,8,Emilio,0,"Creo en dios, sin embargo no sigo las reglas de la religión (evangelica) en estricta medida.",No tengo ninguna orientación política.,74.000,800,42,74.000,800,42,255.195,"928,41",155,181.195,128,113,217,601,303,7,3,3
151,153,1 UN,3 AR,23,2 MA,15,1 ST,1,2,3,2,4,2,4,3,4,3,3,4,3,2,3,2,3,4,3,5,5,3,1,2,3,1,2,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,2,5,4,3,3,4,3,5,4,4,4,3,1,5,1 CA,3 RW,4 EU,2 EM,30/10/2023 11:23:47,Si,00153,10 pesos,100 minutos,24 horas,segundo lugar,8 ovejas,Emilio,27 metro cubicos,Catolica,José Antonio Kast,253.000,931 pesos,155 miembros,253.000,931,155,255.195,"928,41",155,2.195,3,0,4,19,1,5,1,1
152,154,1 UN,3 AR,19,2 MA,15,1 ST,2,2,1,2,3,3,2,1,3,2,2,3,2,2,2,3,3,3,4,4,4,1,2,2,3,3,2,1,0,0,0,0,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,3,4,1,2,3,4,3,2,2,3,3,2,4,4,1,5,3 OT,3 RW,4 EU,4 EU,30/10/2023 11:02:34,Si,00154,5 pesos,5 minutos,24 horas ,en el segundo lugar,8,emilio,1 metro cubico,"yo creo por fe, no solo por creer",por lo general una tendencia de derecha pero no me gusta mucho la politica en verdad,100.000,casi 900 pesos,20,100.000,900,20,255.195,"928,41",155,155.195,28,135,202,244,441,7,2,3
153,155,1 UN,3 AR,18,1 FE,15,1 ST,1,2,1,3,3,2,2,3,4,3,3,3,3,3,3,3,4,4,3,2,4,2,1,2,1,3,3,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,3,4,2,4,4,4,3,3,4,4,3,4,5,3,4,5,3 OT,8 NR,4 EU,4 EU,30/10/2023 12:18:06,Si,00155,10 pesos,1 hora y 40 minutos,12 horas,en primer lugar,ni una,emilio,27,"creo en dios porque siento que es necesario creer en algo, sin embargo no me siento identificada con ninguna religion",la politica no es un tema del cual me guste opinar ya que no tengo la  información necesaria para dar mi opinión al respecto,17.000,848,12,17.000,848,12,255.195,"928,41",155,238.195,80,143,257,475,506,7,2,3
154,156,1 UN,3 AR,18,1 FE,15,1 ST,2,3,3,3,2,3,3,1,4,2,4,4,4,4,2,3,4,4,3,3,4,1,1,1,2,2,1,0,0,0,1,0,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,1,0,2,2,2,3,3,3,3,1,4,2,1,4,4,4,2,5,3 OT,5 NO,4 EU,3 ET,30/10/2023 12:19:31,Si,00156,10 pesos ,1 minuto ,24 horas,en el segundo lugar ,todas murieron ,emilio ,27,no soy creyente cien porciento pero si hay cosas que creo de la biblia ,no me gusta la politica ,500 habitantes ,900 pesos aprox,45,500,900,45,255.195,"928,41",155,254.695,28,110,289,244,293,7,2,3
155,157,1 UN,3 AR,20,1 FE,15,1 ST,2,3,1,2,2,2,2,2,3,4,4,3,3,3,3,1,3,3,3,2,4,1,1,1,1,2,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,3,5,2,4,3,3,3,2,2,4,3,4,5,3,3,5,1 CA,8 NR,4 EU,5 PT,30/10/2023 12:16:47,Si,00157,10,1 HORA Y 40 MINUTOS ,NADA POR QUE YA SE EXPANDIO ,2DO LUGAR ,NINGUNA ,EMILIO,,CATOLICA ,...,NO SE CON EXACTUTID,1.OOO PESOS APROX ,NO LO SE (68?),NR,1.000,68,255.195,"928,41",155,NR,72,87,NR,417,184,NR,2,2
156,158,1 UN,3 AR,19,2 MA,15,1 ST,2,2,3,2,2,3,3,2,4,3,1,3,2,3,4,3,3,4,4,3,3,2,2,1,1,2,1,0,0,0,1,0,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,3,4,2,2,4,1,4,2,3,4,4,4,4,4,1,5,3 OT,8 NR,4 EU,6 PG,30/10/2023 12:21:44,Si,00158,10,5,47,Segundo lugar,8 ovejas,Emilio,3 metros cubicos,Creo en Dios,Deseo no responder,100.000,953,7 diputados ,100.000,953,7,255.195,"928,41",155,155.195,25,148,202,202,559,7,2,3
